Frame N BAPnP_Time EPnP_Time EPnPLM_Time SQPnP_Time CPnP_Time BAPnP_R EPnP_R EPnPLM_R SQPnP_R CPnP_R BAPnP_t EPnP_t EPnPLM_t SQPnP_t CPnP_t
38 241 0.114732 0.14786 0.862147 0.07143 0.327226 1.77501 1.77356 1.77513 1.82182 1.77378 0.037081 0.0353972 0.0370827 0.0362235 0.0371239
39 221 0.108288 0.215046 0.853742 0.149442 0.356177 2.41925 2.56802 2.4194 2.62635 2.40505 0.0412313 0.0626532 0.0412306 0.0518575 0.0377049
40 225 0.070133 0.145688 0.830314 0.072977 0.316572 2.94208 2.96644 2.94214 2.90401 2.94329 0.070361 0.0699155 0.0703576 0.065884 0.0705811
41 165 0.089074 0.12346 0.753608 0.098941 0.187197 3.67919 3.05209 3.68014 2.53854 3.73178 0.0613746 0.0776263 0.0613722 0.0471015 0.0846795
42 257 0.116197 0.198443 1.05662 0.097221 0.316554 2.04373 2.32537 2.04378 2.2668 2.2009 0.0642972 0.066134 0.0642982 0.0604118 0.0631638
43 139 0.059718 0.110178 0.639637 0.355179 0.243652 7.13786 8.29428 7.13845 8.97944 nan 0.109394 0.21783 0.1094 0.223639 -nan
44 191 0.075765 0.164883 0.781982 0.081545 0.195372 2.69994 3.37918 2.69999 3.02522 2.59409 0.0421242 0.04728 0.0421376 0.0417536 0.0396305
45 383 0.163636 0.260788 50.2547 0.109405 0.60265 2.9959 3.67562 2.99632 3.76362 2.04104 0.0485627 0.102573 0.048566 0.0640766 0.282677
46 210 0.066108 0.15224 0.624825 0.345446 0.192978 5.52588 5.02118 5.52668 6.4683 7.69961 0.10794 0.154591 0.107949 0.123313 1.01462
47 327 0.128439 0.141491 1.24623 0.071212 0.395104 2.20931 2.35147 2.20966 2.3578 2.2018 0.0166887 0.0212095 0.016676 0.025442 0.022113
48 399 0.141173 0.306042 1.41288 0.253561 0.39591 2.0544 1.77462 2.05436 1.77925 2.05147 0.0359572 0.0369886 0.0359513 0.0250086 0.0350444
