Frame N BAPnP_Time EPnP_Time EPnPLM_Time SQPnP_Time CPnP_Time BAPnP_R EPnP_R EPnPLM_R SQPnP_R CPnP_R BAPnP_t EPnP_t EPnPLM_t SQPnP_t CPnP_t
164 228 0.066165 0.108335 0.67616 0.06512 0.13354 1.88239 2.48803 1.87387 4.60173 1.8932 0.106917 0.0325261 0.106957 0.217708 0.0532755
165 341 0.095096 0.13531 0.850851 0.063163 0.17446 1.60109 1.85111 1.60151 3.30999 1.85986 0.0658827 0.0496605 0.0658761 0.0970181 0.0585015
166 493 0.114701 0.173853 1.06042 0.075682 0.236359 0.920596 1.38407 0.920529 1.47207 0.871206 0.0557657 0.0473949 0.055768 0.0687943 0.0570367
167 226 0.064533 0.103884 0.662482 0.115757 0.12725 4.67867 5.05991 4.6788 6.84597 11.5998 0.0607502 0.118049 0.0607889 0.188487 0.567088
168 316 0.091525 0.135171 1.03325 0.111043 0.313549 17.0723 1.88835 0.833465 4.45544 1.21981 0.958084 0.0855825 0.127795 0.143489 0.0749691
169 458 0.189336 0.247721 1.34889 0.123922 0.328276 1.72828 1.95958 1.72785 3.19015 1.7216 0.0758405 0.0672882 0.0758397 0.103419 0.0702895
170 203 0.080179 0.13639 0.875557 0.074885 0.172274 3.3964 4.1371 3.39851 6.24905 2.9738 0.124964 0.0856576 0.12491 0.207826 0.0682551
171 312 0.094296 0.132132 0.867675 0.076654 0.162457 7.90662 6.37245 7.90775 9.89981 8.03186 0.140781 0.275152 0.140857 0.209255 0.144484
172 131 0.041206 0.08117 0.40075 0.078766 0.088263 4.22073 1.96659 4.21855 8.06735 6.14797 0.13168 0.198506 0.131705 0.237673 0.168761
173 618 0.142626 0.205679 1.30246 0.092152 0.371264 2.34056 2.67674 2.34056 3.27415 2.1761 0.0462274 0.0561299 0.0462272 0.0864162 0.06688
174 454 0.124097 0.163041 0.917932 0.07574 0.228805 2.71445 2.50845 2.71413 3.67244 3.01885 0.0573573 0.0527059 0.0573552 0.101415 0.0791715
175 450 0.122644 0.161132 0.921365 0.088828 0.214488 2.34943 1.20011 2.35077 2.21652 2.79217 0.114498 0.152934 0.114535 0.0963257 0.10954
176 256 0.098003 0.134286 0.685112 0.101454 0.261441 2.04837 3.59728 2.04856 1.74754 8.05871 0.0779413 0.192228 0.0779906 0.196749 0.32344
177 376 0.104859 0.144725 1.03336 0.107623 0.293585 2.97212 3.58784 2.97382 1.86965 4.11706 0.0376037 0.158636 0.0375892 0.112009 0.339951
178 182 0.09957 0.148953 0.610758 0.114639 0.117033 2.98474 4.8533 2.98583 7.6198 3.11514 0.224038 0.229445 0.224059 0.335799 0.951459
179 278 0.078771 0.11921 0.662847 0.080043 0.189394 2.27381 2.40877 2.2728 4.44662 2.53964 0.0456961 0.0688142 0.0457194 0.140452 0.0176293
180 175 0.052526 0.090869 0.545527 0.075677 0.103121 1.74355 2.38516 1.74353 4.9237 4.57132 0.0578317 0.0839859 0.0578319 0.212877 0.538972
181 302 0.083443 0.125476 0.837147 0.115724 0.155622 23.0248 8.02681 4.97264 6.24521 nan 1.23803 0.318849 0.0629107 0.346204 -nan
182 342 0.093652 0.133772 0.729026 0.113512 0.284155 0.816196 1.37437 0.816073 4.26622 1.77652 0.0468449 0.0149045 0.0468349 0.207674 0.305693
183 403 0.094762 0.149793 0.839776 0.080828 0.195596 3.15518 2.70469 3.15474 4.36865 3.04694 0.0528008 0.0663388 0.0527912 0.11079 0.0516076
184 454 0.122927 0.162748 1.05896 0.107128 0.228343 1.30289 2.70221 1.30174 2.46119 7.97537 0.0321981 0.136913 0.032186 0.136963 0.356068
185 511 0.118655 0.178844 1.07932 0.176494 0.563855 2.59304 2.61958 2.59344 1.87736 2.61231 0.0360787 0.0410698 0.0360873 0.0344266 0.0365884
186 280 0.131655 0.123245 0.717668 0.074389 0.14968 1.40877 1.88673 1.40843 3.01667 1.45869 0.090525 0.0472472 0.0904876 0.131075 0.0378097
187 247 0.072493 0.155976 1.07359 0.144044 0.181797 3.52071 3.22965 3.52318 6.05632 3.43172 0.0867521 0.123345 0.0867732 0.203485 0.063689
188 280 0.08218 0.25164 1.10478 0.123179 0.208442 2.78978 2.19127 2.7896 2.82529 2.8359 0.0753668 0.0726374 0.0753671 0.0880916 0.0653202
189 158 0.04978 0.090704 0.459121 0.078389 0.098051 3.9851 3.75112 3.98389 3.79258 4.11157 0.0998558 0.0930425 0.0998807 0.108785 0.0976775
190 155 0.045723 0.085217 0.495886 0.106935 0.094645 4.39062 5.6101 4.39192 8.92847 3.88628 0.12939 0.164371 0.129406 0.203342 0.11996
191 183 0.053526 0.092141 0.504557 0.113803 0.105846 5.33907 6.38339 5.34068 7.64031 16.8289 0.0770103 0.0887874 0.0769924 0.148681 0.524184
192 134 0.035062 0.080172 0.358574 0.06542 0.086988 3.62107 3.07696 3.62227 4.79794 3.68098 0.0766696 0.0599583 0.0766994 0.1106 0.103807
193 189 0.054932 0.094719 0.514065 0.049839 0.110746 4.94658 2.53857 4.95019 1.54183 4.88342 0.112148 0.0884155 0.112185 0.0799641 0.0782849
194 226 0.055568 0.103342 0.52101 0.049444 0.123862 0.988376 0.272838 0.989891 0.139676 1.23275 0.0434359 0.0316194 0.0434613 0.0337249 0.0486865
195 154 0.047041 0.092867 0.457798 0.060692 0.0972 6.27482 5.93067 6.27684 6.11473 6.73747 0.0604085 0.0734018 0.060468 0.0879699 0.0657753
196 173 0.044177 0.090295 0.42885 0.058318 0.103499 3.71451 3.56379 3.71448 3.6858 3.57621 0.0249716 0.0239382 0.0249536 0.0167447 0.0251438
197 196 0.057221 0.096578 0.652114 0.108906 0.112006 3.33543 3.16018 3.11514 7.12892 9.39088 0.0325833 0.111536 0.0365428 0.14241 0.41247
198 82 0.027246 0.065622 0.395937 0.135389 0.065717 20.101 9.40185 2.9599 5.99905 nan 0.703177 0.293672 0.0717069 0.230816 -nan
199 93 0.031071 0.070157 0.432286 0.130651 0.074159 5.77667 6.96971 5.77277 5.24011 18.0974 0.132027 0.149211 0.131984 0.181113 0.410865
200 101 0.032668 0.104226 0.374762 0.058782 0.106685 3.88348 5.11473 3.88387 3.59851 5.28688 0.10383 0.105483 0.103864 0.0639078 0.0556758
201 79 0.027079 0.066376 0.26114 0.105869 0.111037 5.94972 5.52833 5.94848 3.18639 6.79654 0.0893972 0.0807773 0.0893776 0.0423077 0.0947649
